business_name,phone,reviews_link,reviews_count,city,preview_link
Dupree Electrical,+1 205-784-8512,"https://search.google.com/local/reviews?placeid=ChIJf2n-H9t1uCQRUzPxaliDdqM&q=electrician,+35244,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",5,Alabaster,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJf2n-H9t1uCQRUzPxaliDdqM
JD Allen Services,+1 205-966-2590,"https://search.google.com/local/reviews?placeid=ChIJe_IMOd8_iYgRR5T1HMOv5Bo&q=electrician,+35244,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",1,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJe_IMOd8_iYgRR5T1HMOv5Bo
Robinson Electrical Contractors LLC,+1 205-597-9462,"https://search.google.com/local/reviews?placeid=ChIJidqiLzgPiYgR-3IUyeRj8mQ&q=electrician,+35249,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",11,Birmingham,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJidqiLzgPiYgR-3IUyeRj8mQ
Ryan Electrical Services LLC,+1 205-239-1133,"https://search.google.com/local/reviews?placeid=ChIJsaH3vGaviIgRHlomWxuPnrM&q=electrician,+35401,+Tuscaloosa,+AL,+US&authuser=0&hl=en&gl=US",5,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJsaH3vGaviIgRHlomWxuPnrM
Jeff Turner Electrical,+1 256-606-1677,"https://search.google.com/local/reviews?placeid=ChIJ_xXlEkmZYogRStM8syeqHOo&q=electrician,+35443,+Boligee,+AL,+US&authuser=0&hl=en&gl=US",7,Trinity,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ_xXlEkmZYogRStM8syeqHOo
All Source Electrical and Lightning Services llc,+1 205-999-9832,"https://search.google.com/local/reviews?placeid=ChIJIemoMM5uYksR4bSEmcJNHFM&q=electrician,+35444,+Brookwood,+AL,+US&authuser=0&hl=en&gl=US",10,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJIemoMM5uYksR4bSEmcJNHFM
JCE Electrical,+1 334-318-2044,"https://search.google.com/local/reviews?placeid=ChIJ__K2REINjogR2DOWaH9__RM&q=electrician,+35457,+Echola,+AL,+US&authuser=0&hl=en&gl=US",7,Lapine,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJ__K2REINjogR2DOWaH9__RM
Bowen Electric,+1 205-799-2531,"https://search.google.com/local/reviews?placeid=ChIJH-LQAISrh4gRLxVarwGlf90&q=electrician,+35457,+Echola,+AL,+US&authuser=0&hl=en&gl=US",2,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJH-LQAISrh4gRLxVarwGlf90
"Whalen Electric Services, LLC",+1 205-229-6267,"https://search.google.com/local/reviews?placeid=ChIJB_K_c5UZoWsRsfg3ss7zaPg&q=electrician,+35459,+Emelle,+AL,+US&authuser=0&hl=en&gl=US",28,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJB_K_c5UZoWsRsfg3ss7zaPg
Mounting High LLC,+1 662-251-8472,,,,https://79f7ed2b-4a25-41e2-be82-8a3341ae0aa1-00-3expw1nxlehl5.kirk.replit.dev/BAMAELECTRIC/?id=ChIJtcwyitwCdWQR3AAv7_zThR0
