Business Name,Place ID,City,Reviews Link
Dupree Electrical,ChIJf2n-H9t1uCQRUzPxaliDdqM,Alabaster,"https://search.google.com/local/reviews?placeid=ChIJf2n-H9t1uCQRUzPxaliDdqM&q=electrician,+35244,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US"
JD Allen Services,ChIJe_IMOd8_iYgRR5T1HMOv5Bo,,"https://search.google.com/local/reviews?placeid=ChIJe_IMOd8_iYgRR5T1HMOv5Bo&q=electrician,+35244,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US"
Robinson Electrical Contractors LLC,ChIJidqiLzgPiYgR-3IUyeRj8mQ,Birmingham,"https://search.google.com/local/reviews?placeid=ChIJidqiLzgPiYgR-3IUyeRj8mQ&q=electrician,+35249,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US"
Ryan Electrical Services LLC,ChIJsaH3vGaviIgRHlomWxuPnrM,,"https://search.google.com/local/reviews?placeid=ChIJsaH3vGaviIgRHlomWxuPnrM&q=electrician,+35401,+Tuscaloosa,+AL,+US&authuser=0&hl=en&gl=US"
Jeff Turner Electrical,ChIJ_xXlEkmZYogRStM8syeqHOo,Trinity,"https://search.google.com/local/reviews?placeid=ChIJ_xXlEkmZYogRStM8syeqHOo&q=electrician,+35443,+Boligee,+AL,+US&authuser=0&hl=en&gl=US"
All Source Electrical and Lightning Services llc,ChIJIemoMM5uYksR4bSEmcJNHFM,,"https://search.google.com/local/reviews?placeid=ChIJIemoMM5uYksR4bSEmcJNHFM&q=electrician,+35444,+Brookwood,+AL,+US&authuser=0&hl=en&gl=US"
JCE Electrical,ChIJ__K2REINjogR2DOWaH9__RM,Lapine,"https://search.google.com/local/reviews?placeid=ChIJ__K2REINjogR2DOWaH9__RM&q=electrician,+35457,+Echola,+AL,+US&authuser=0&hl=en&gl=US"
Bowen Electric,ChIJH-LQAISrh4gRLxVarwGlf90,,"https://search.google.com/local/reviews?placeid=ChIJH-LQAISrh4gRLxVarwGlf90&q=electrician,+35457,+Echola,+AL,+US&authuser=0&hl=en&gl=US"
"Whalen Electric Services, LLC",ChIJB_K_c5UZoWsRsfg3ss7zaPg,,"https://search.google.com/local/reviews?placeid=ChIJB_K_c5UZoWsRsfg3ss7zaPg&q=electrician,+35459,+Emelle,+AL,+US&authuser=0&hl=en&gl=US"
Mounting High LLC,ChIJtcwyitwCdWQR3AAv7_zThR0,,
"Moody’s Electric Service, LLC",ChIJ53itrHFvgYgRg_Co6092b3A,,"https://search.google.com/local/reviews?placeid=ChIJ53itrHFvgYgRg_Co6092b3A&q=electrician,+35461,+Ethelsville,+AL,+US&authuser=0&hl=en&gl=US"
harrison electric llc,ChIJJyFsrxn9dwoRpS4Rfqode7c,,
"Resource Electrical Services, LLC",ChIJ8VY1tmT_mqcRDTiPmyWnRDQ,,"https://search.google.com/local/reviews?placeid=ChIJ8VY1tmT_mqcRDTiPmyWnRDQ&q=electrician,+36062,+Petrey,+AL,+US&authuser=0&hl=en&gl=US"
Reliant Electrical Solutions LLC,ChIJKTsNHNR9kogR0voT8l67UnM,,"https://search.google.com/local/reviews?placeid=ChIJKTsNHNR9kogR0voT8l67UnM&q=electrician,+36062,+Petrey,+AL,+US&authuser=0&hl=en&gl=US"
Hendrix Electrix,ChIJRbviIlcqjIgRq5SRGK9hWPo,,
Montgomery Electrical Services,ChIJS_YPnQiBjogROmRN7Lnp2j4,,
Ceh Electric Solutions,ChIJ1ZgpqqzpuCMR7892KKIHaFI,,
Agee Electric,ChIJU11D1fEMjIgRZBnjCdWzK14,Alexander City,"https://search.google.com/local/reviews?placeid=ChIJU11D1fEMjIgRZBnjCdWzK14&q=electrician,+35089,+Kellyton,+AL,+US&authuser=0&hl=en&gl=US"
Jackson Electrical Services of Alabama LLC,ChIJbSw-aooKv2YRdsy_06w_feE,,
Holcombe Electric llc,ChIJPV1pr4uQiYgR0YXEuYQWd98,,"https://search.google.com/local/reviews?placeid=ChIJPV1pr4uQiYgR0YXEuYQWd98&q=electrician,+35097,+Locust+Fork,+AL,+US&authuser=0&hl=en&gl=US"
"Ralph Electric, LLC",ChIJQ7rcQot9iYgRIEfJAPFFSAg,Pell City,"https://search.google.com/local/reviews?placeid=ChIJQ7rcQot9iYgRIEfJAPFFSAg&q=electrician,+35112,+Margaret,+AL,+US&authuser=0&hl=en&gl=US"
Good Stewart Electric,ChIJF0-8kZ-niYgRW_GnfFJPAhY,Birmingham,"https://search.google.com/local/reviews?placeid=ChIJF0-8kZ-niYgRW_GnfFJPAhY&q=electrician,+35112,+Margaret,+AL,+US&authuser=0&hl=en&gl=US"
The Electrical Plug,ChIJserrPLqp1EkRbqLVejiiMe0,,
"Southern Home Innovative Tech, LLC",ChIJvxXDwGoV8GcRpF8oRVIlMCU,,
Dr. Watts Electric Service,ChIJVwTi2JSLkogRBeZowVrmK-Y,,"https://search.google.com/local/reviews?placeid=ChIJVwTi2JSLkogRBeZowVrmK-Y&q=electrician,+36313,+Bellwood,+AL,+US&authuser=0&hl=en&gl=US"
Buck's Electrical Contractor,ChIJfzLKhWWrk4gRdB3xH9LUSoM,Bonifay,"https://search.google.com/local/reviews?placeid=ChIJfzLKhWWrk4gRdB3xH9LUSoM&q=electrician,+36314,+Black,+AL,+US&authuser=0&hl=en&gl=US"
Jones Johnson Electrical,ChIJ9RtgipbZkogRCmRUacOm2hs,Greenwood,
"Middlebrooks Brothers, Inc.",ChIJI4xBmLL5kogRXpPR-lIhtRQ,Graceville,"https://search.google.com/local/reviews?placeid=ChIJI4xBmLL5kogRXpPR-lIhtRQ&q=electrician,+36344,+Hartford,+AL,+US&authuser=0&hl=en&gl=US"
"King Electric & Construction, LLC",ChIJVTA20eA6k4gRQEYmaHpN5Nc,,"https://search.google.com/local/reviews?placeid=ChIJVTA20eA6k4gRQEYmaHpN5Nc&q=electrician,+36344,+Hartford,+AL,+US&authuser=0&hl=en&gl=US"
